objectid,description,date,author,title,language,location,keywords 1,keywords 2,keywords 3,keywords 4,keywords 5,keywords 6,keywords 7,keywords 8,keywords 9,keywords 10,keywords 11,keywords 12,keywords 13,keywords 14,keywords 15,keywords 16,keywords 17,keywords 18,keywords 19,keywords 20,keywords 21,keywords 22,keywords 23,keywords 24,keywords 25,keywords 26,keywords 27,keywords 28,keywords 29,keywords 30,keywords 31,keywords 32,keywords 33,keywords 34,keywords 35,keywords 36,keywords 37,keywords 38,keywords 39,keywords 40,keywords 41,keywords 42,keywords 43,keywords 44,keywords 45,keywords 46,keywords 47,keywords 48,keywords 49,keywords 50,keywords 51,keywords 52,keywords 53,keywords 54,keywords 55,keywords 56,keywords 57,keywords 58,keywords 59,keywords 60,keywords 61,keywords 62,keywords 63,keywords 64,keywords 65,keywords 66,keywords 67,keywords 68,keywords 69,keywords 70,keywords 71,keywords 72,keywords 73,keywords 74,keywords 75,keywords 76,keywords 77,keywords 78,keywords 79,keywords 80,keywords 81,keywords 82,keywords 83,keywords 84,keywords 85,keywords 86,keywords 87,keywords 88,keywords 89,keywords 90,keywords 91,keywords 92,keywords 93,keywords 94,keywords 95,keywords 96,keywords 97,keywords 98,keywords 99,keywords 100,keywords 101,keywords 102,keywords 103,keywords 104,keywords 105,keywords 106,keywords 107,keywords 108,keywords 109,keywords 110,keywords 111,keywords 112,keywords 113,keywords 114,keywords 115,keywords 116,keywords 117,keywords 118,keywords 119,keywords 120,keywords 121,keywords 122,keywords 123,keywords 124,keywords 125,keywords 126,abstract_note,publication_title,isbn,issn,doi,url,pages,issue,volume,number_of_volumes,publisher,Rights,Type,Archive,Archive Location,Extra,File Attachments,Link Attachments,format,Column,Column2,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
db0001,Journal Article,2012,"Carneiro, Celso Dal Re; Toniolo, Joao Claudio",A Terra ‘quente’ na imprensa: confiabilidade de notícias sobre aquecimento global,pt,Brasil,aquecimento global,mídia,controvérsias,geociências,brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pesquisa sobre confiabilidade de notícias a respeito do ‘aquecimento global’, em veículos do grupo de comunicação UOL, Folha.com e Folha de S. Paulo, revelou certa polaridade de posições entre a concordância plena de que as causas sejam exclusivamente antrópicas (posição predominante) e sua completa negação. A amostra compreende 676 notícias, entre mais de três mil relacionadas ao tema, entre outubro de 2007 e outubro de 2008. Avaliou-se a hipótese de ser o noticiário dos três meios de comunicação dominado pelas posições do Painel Intergovernamental de Mudança Climática. Em termos absolutos, o Painel é a fonte mais referenciada, pois apenas sete notícias constituem exceções ao ‘consenso’. Tais opiniões contrárias perfazem 1,03% da amostra.","História, Ciências, Saúde-Manguinhos",,0104-5970,10.1590/S0104-59702012000200002,,369-389,2,19,,,,,,WOS:000307228900002,,/Users/juliabelden/Zotero/storage/NLP7HWLF/Carneiro and Toniolo - 2012 - A Terra 'quente' na imprensa confiabilidade de notícias sobre aquecimento global.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0002,Journal Article,2009,"Petroski, E. L.; Silva, D. A. S.; Reis, R. S.; Pelegrini, A.",Estágios de mudança de comportamento e percepção positiva do ambiente para atividade física em usuários de parque urbano,pt,Brasil,atividade motora,parques nacionais,atividades de lazer,comportamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Os objetivos do estudo foram: (a) identificar os estágios de mudança de comportamento (EMC) para atividade física (AF) em usuários de parques urbanos, (b) verificar a associação entre os indicadores sócio-demográficos e econômicos com a prática de AF em usuários de parques urbanos, (c) analisar os indicadores ambientais percebidos positivamente para a prática de AF. Participaram do estudo 218 usuários de um parque urbano que preencheram um questionário com informações sócio-demográficas, EMC e percepção do ambiente existente. Proporção mais elevada de usuários foi encontrada nos estágios manutenção (56,6%) e ação (21,1%). A maioria (78,7%) dos usuários possui comportamento ativo (manutenção+ação) à prática de AF, sendo mais prevalente nos indivíduos de meiaidade (p<0,05). A beleza e localização geográfica do parque, os fatores tecnológicos e arquitetônicos, alguns políticos normativos (serviços públicos à disposição dos usuários) e de valores e atitudes foram percebidos positivamente para AF independente de os usuários praticarem ou não AF regularmente. O estudo sugere que a maior parte dos usuários do parque público apresenta comportamento ativo à prática de AF, sobretudo, os de meia idade. Ademais, independente do EMC em relação à AF, a percepção dos indicadores ambientais é positiva entre os usuários sedentários e ativos fisicamente.",Motricidade,,1646-107X,,,17-31,2,5,,,,,,CABI:20113106864,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0003,Journal Article,2023,"Bezerra Tabosa, David Herculano; Oliveto, Fernanda Alessio; Anastacio De Paula, Claudio Paixao; Oliveira Araujo, Eliane Pawlowski",Marketing Institucional em Conservação da Biodiversidade: Análise Simbólica da Divulgação Científica do ICMBio,pt,Brasil,instagram,perfiles arquetípicos,comunicación institucional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Com o avanço das tecnologias de informação e comunicação, o ambiente digital passou a dominar a vida cotidiana, conectando globalmente a sociedade por meio da Web. O impacto desse ambiente e, de modo especial, das redes sociais, acabou agregando valor Ã s organizações, pois uma única postagem pode, ao receber muitas ""curtidas"", atrair novos seguidores e alcançar milhares de pessoas. Por essa potencialidade, órgãos como o Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio) têm se apropriado dessas redes apresentando-se Ã sociedade e buscando sensibilizar seus seguidores sobre ações de proteção do meio ambiente. Entretanto, por se tratar de uma estratégia institucional de divulgação, é importante que o Instituto avalie qual imagem tem passado a seus seguidores, diagnóstico que pode sugerir formas de potencializar o alcance das mensagens. Neste sentido, foi realizado um estudo que analisou as postagens do Instituto no Instagram nos dois primeiros anos do perfil na rede social (2016-2017). A pesquisa utilizou a Netnografia e o aporte teórico de Margareth Mark e Carol Pearson para identificar a imagem transmitida pelo Instituto a partir do reconhecimento de padrões imagético-comportamentais como base para elaborar estratégias de marketing e dar significado Ã s marcas corporativas. Essa perspectiva teórico-metodológica possibilitou reconhecer como perfis predominantes os padrões comportamentais de postagens denominados ""o Mago"" e ""o Explorador"". Associado aos propósitos do Instituto, considera-se que esses perfis podem inspirar os seguidores a deixarem-se penetrar por experiências transformadoras proporcionadas pelas postagens, iniciando um processo de ampliação de consciência quanto Ã importância da conservação da biodiversidade.",Biodiversidade Brasileira,,2236-2886,,,1-24,4,13,,,,,,ZOOREC:ZOOR16005036940,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0004,Journal Article,2010,"Amarante, Maria Inês",Flora Tristan: jornalismo militante em tempo de revoltas,pt,Brasil,flora tristan,feminismo,imprensa,revolução industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O presente artigo, fruto de uma pesquisa bibliográfica e documental, apresenta o itinerário de Flora Tristan e sua inserção no jornalismo da época, na primeira metade do século 19. Procura-se mostrar diversos aspectos da condição feminina na sociedade francesa em transformação pós-revolucionária e no início da Revolução Industrial, o pensamento de seus teóricos mais relevantes e a vivência da autora diante dessa realidade. O fio condutor do trabalho é a apresentação do perfil bio-bibliográfico de Flora. Através da cronologia comentada de suas obras e textos, publicados após a viagem que empreende à América Latina, evidencia-se a extensão dos ideais utópico-socialistas que defendeu e sua crença em formas mais justas de organização social em prol dos direitos das mulheres e de uma união nacional de trabalhadores. O combate literário e militante da escritora e a coerência de suas ideias de vanguarda lhe garantiram um lugar de destaque na história do pensamento feminista.",Revista Katálysis,,1982-0259,,,110-118,1,13,,,,,,SCIELO:S1414-49802010000100013,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0005,Journal Article,2008,"Machado, Carlos Alberto",Filmes de ficção científica como mediadores de conceitos relativos ao meio ambiente,pt,Brasil,ficção científica,meio ambiente,ensino de ciências,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Muito se fala sobre o meio ambiente nos meios de comunicação e nas escolas, mas pouco se sabe sobre toda sua gama e envergadura. Confundem-se princípios ecológicos com o ensino generalizado do meio ambiente que cobre uma gama muito maior de conceitos e uma complexidade de relações urgentes e esquece-se que o estudo do meio ambiente deve tratar do todo envolvido pelo homem, do todo ao redor. Visões utópicas e distópicas a respeito desse tema estão presentes em alguns filmes de ficção científica feitos para cinema e televisão. Este texto analisa relações entre esses filmes e conceitos científicos relativos ao meio ambiente e aponta possibilidades de uso dos mesmos no ensino de ciência.",Ciência & Educação (Bauru),,1980-850X,10.1590/S1516-73132008000200007,,283-294,2,14,,,,,,SCIELO:S1516-73132008000200007,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0006,Thesis/dissertation,1987,"Silva, C. R. L. Da",O impacto da politica comercial brasileira na agricultura,pt,Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Relatorio de Pesquisa, Instituto de Economia Agricola, Secretaria de Agricultura e Abastecimento, Governo do Estado de Sao Paulo",,,,,,No. 6,,,,,,,CABI:19881858877,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0007,Journal Article,2011,"Graham, Laura R.",Citando Mario Juruna: imaginário linguístico e a transformação da voz indígena na imprensa brasileira,pt,USA,política linguística,discriminação linguística,política de representação,prática de textualização,mídia impressa,indianidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No presente artigo, revelo os mecanismos textuais que influentes editores de notícias empregaram para manipular a compreensão popular acerca de Mario Juruna, líder xavante que desempenhou um papel importante no avanço da democracia durante a ditadura militar brasileira e se tornou o primeiro indígena eleito para o Congresso Nacional. Argumento que os editores usaram as mensagens implícitas da representação da linguagem para encetar mudanças na percepção do público a respeito do líder xavante, mudando, com isso, a opinião a seu respeito. O caso Juruna evidencia que os recursos linguísticos são ferramentas poderosas que instituições hegemônicas, como a imprensa e outros grupos dominantes, podem empregar para promover seus próprios interesses, influenciando a opinião pública em questões de importância política e social.",MANA-ESTUDOS DE ANTROPOLOGIA SOCIAL,,0104-9313,10.1590/S0104-93132011000200002,,271-312,2,17,,,,,,WOS:000299289600002,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0008,Journal Article,2017,"Santos, Joana Ribeiro Dos; Rosa, Rebeca Silva Brandão; Alves, Nilda",Movimentos Sociais: clichês e redes educativas no filme Queimada!,pt; en,Brasil,movimentos sociais,clichês,cinema,redes educativas,cotidianos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Através das imagens e sons, tecendo diálogo com as lutas por independência política na América do século XIX, Queimada! (dirigido por Gillo Pontecorvo, Itália, 1969), nos ajuda a compreender a importância das redes educativas na tessitura dos movimentos sociais ao longo da história. A ideia de uma repetição criadora, entre os movimentos do século XIX e entre os atuais, nos auxilia a discutir como os clichês aparecem no filme e estão presentes nas nossas redes, e em formas de perceber esses movimentos. Superar esses clichês parece ser uma boa tática para recriar, no presente, tantas formas de compreender a história e tecer os movimentos sociais atualmente. Buscamos teóricos como Certeau (1994), Deleuze (2005), Castells (2013), etc.",Educação & Realidade,,2175-6236,10.1590/2175-623664359,,533-554,2,42,,,,,,SCIELO:S2175-62362017000200533,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0009,Journal Article,2023,"Alves, Rafael Vitória; Pereira, Hélcius Batista; Franco, Neil","Percepção ambiental sobre as mudanças climáticas globais numa praça pública na cidade do Rio de Janeiro (RJ, Brasil)",pt,Brasil,tradições discursivas,gênero do discurso,infográfico,jornalismo impresso,gênero do discurso,infográfico,jornalismo impresso,tradições discursivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O infográfico é um gênero do discurso que, gradualmente, ganha espaço e capilaridade no jornalismo impresso brasileiro, embora a sua história seja pouco explorada. Em razão disso, o objetivo deste artigo é analisar os traços de permanência e mudança na história do infográfico em jornais diários das regiões Sul e Sudeste do país a partir de um corpus de 30 textos divididos igualmente entre os períodos de 1990-1995 e 2015-2020. Tratase de um estudo diacrônico e de uma pesquisa de natureza qualitativa, que emprega métodos quantitativos para fins específicos. Ancoramo-nos, teoricamente, na perspectiva de Tradições Discursivas (TD), mobilizando também a teoria de gênero do discurso. Como resultados, concluímos que, a título de conservação, as TD de conteúdo jornalístico, linguagem objetiva, título, corpo do infográfico, elementos de detalhamento, fonte, autoria e fotomontagem permaneceram sem expressivas alterações entre os períodos, enquanto as TD de valoração proeminente, lead, acabamento complementar e independente, ainda que mantidas, sofreram bastante alterações entre os recortes temporais. Em caráter de evolução, apareceram as TD de desenho digital, conteúdo complementar e linguagem informal. Por fim, as TD de desenho à mão e protoinfográfico desaparecem do recorte sócio-histórico analisado.",DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada,,1678-460X,10.1590/1678-460x202339456633,,202339456633-202339456633,4,39,,,,,,SCIELO:S0102-44502023000400409,,/Users/juliabelden/Zotero/storage/X5IV34HF/Alves et al. - 2023 - Traços da história do gênero discursivo infográfico no jornalismo impresso do Sul e Sudeste brasilei.pdf; /Users/juliabelden/Zotero/storage/69VP28ZL/Alves et al. - 2023 - .pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0010,Journal Article,2022,"Miguel, Luís Felipe",O jornalismo no novo ambiente comunicacional: uma reavaliação da noção do “jornalismo como sistema perito”,pt,Brasil,jornalismo,sistema perito,pós-verdade,crise da democracia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O artigo revê, à luz das transformações contemporâneas no ambiente comunicacional, a noção de que o jornalismo opera como “sistema perito” – um sistema de expertise que desfruta da confiança nele depositada por usuários incapazes de avaliá-lo tecnicamente. As novas tecnologias ampliaram a concorrência no espaço discursivo, dissolvendo o monopólio do jornalismo e erodindo suas fontes de financiamento. Ao mesmo tempo, uma incerteza epistêmica radical (“pós-verdade”) e o insulamento do público em enclaves fechados comprometem sua legitimidade. Esta situação contribui para a crise da democracia, uma vez que seu funcionamento pressupunha um patamar mínimo de concordância sobre a agenda e sobre os fatos relevantes, que o jornalismo supria.",TEMPO SOCIAL,,0103-2070,10.11606/0103-2070.ts.2022.195368,,195-216,2,34,,,,,,WOS:000929915300009,,,,record,,,,,,,,,,,,,,,,,,,,,,
